date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:15	325958/325958	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2016:01:56%20GMT	https://gramentheme.com/html/addina/index.html	D:/My%20website/web1/gramentheme.com/html/addina/index.html	(from )
16:03:23	171/171	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Mar%202024%2009:03:23%20GMT	https://gramentheme.com/robots.txt		(from )
16:03:25	908/908	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2018:46:36%20GMT	https://gramentheme.com/html/addina/assets/imgs/furniture/favicon.png	D:/My%20website/web1/gramentheme.com/html/addina/assets/imgs/furniture/favicon.png	(from https://gramentheme.com/html/addina/index.html)
16:03:26	281870/281870	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2014:06:58%20GMT	https://gramentheme.com/html/addina/assets/css/bootstrap.min.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/bootstrap.min.css	(from https://gramentheme.com/html/addina/index.html)
16:03:26	2914/2914	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2011:54:34%20GMT	https://gramentheme.com/html/addina/assets/css/meanmenu.min.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/meanmenu.min.css	(from https://gramentheme.com/html/addina/index.html)
16:03:26	59839/59839	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2011:54:34%20GMT	https://gramentheme.com/html/addina/assets/css/animate.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/animate.css	(from https://gramentheme.com/html/addina/index.html)
16:03:26	16483/16483	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2011:54:34%20GMT	https://gramentheme.com/html/addina/assets/css/swiper.min.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/swiper.min.css	(from https://gramentheme.com/html/addina/index.html)
16:03:26	1895/1895	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2011:54:34%20GMT	https://gramentheme.com/html/addina/assets/css/slick.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/slick.css	(from https://gramentheme.com/html/addina/index.html)
16:03:27	7302/7302	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Nov%202023%2011:54:34%20GMT	https://gramentheme.com/html/addina/assets/css/magnific-popup.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/magnific-popup.css	(from https://gramentheme.com/html/addina/index.html)
16:03:27	543137/543137	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2014:06:58%20GMT	https://gramentheme.com/html/addina/assets/css/fontawesome-pro.css	D:/My%20website/web1/gramentheme.com/html/addina/assets/css/fontawesome-pro.css	(from https://gramentheme.com/html/addina/index.html)
